hash_valid,timestamp_gap,checksum_valid,field_count,is_tampered
1,41,1,8,0
1,73,1,8,0
1,38,1,8,0
1,55,1,8,0
1,30,1,8,0
1,39,1,8,0
1,12,1,8,0
1,99,1,8,0
1,14,1,8,0
1,41,1,8,0
1,6,1,8,0
1,19,1,8,0
1,88,1,8,0
1,85,1,8,0
1,49,1,8,0
1,55,1,8,0
1,41,1,8,0
1,88,1,8,0
1,5,1,8,0
1,81,1,8,0
0,2021,0,6,1
1,64,1,8,0
1,12,1,8,0
1,92,1,8,0
1,24,1,8,0
1,15,1,8,0
1,49,1,8,0
1,12,1,8,0
1,34,1,8,0
1,5,1,8,0
1,73,1,8,0
1,22,1,8,0
1,64,1,8,0
1,69,1,8,0
1,32,1,8,0
1,20,1,8,0
1,93,1,8,0
1,22,1,8,0
1,75,1,8,0
1,30,1,8,0
1,47,1,8,0
1,59,1,8,0
1,55,1,8,0
1,62,1,8,0
1,89,1,8,0
1,82,1,8,0
1,72,1,8,0
1,39,1,8,0
1,7,1,8,0
1,94,1,8,0
1,65,1,8,0
1,4,1,8,0
1,84,1,8,0
1,94,1,8,0
1,22,1,8,0
1,5,1,8,0
1,13,1,8,0
1,38,1,8,0
1,65,1,8,0
1,41,1,8,0
1,88,1,8,0
1,22,1,8,0
1,89,1,8,0
1,28,1,8,0
1,71,1,8,0
1,40,1,8,0
1,19,1,8,0
1,1,1,8,0
1,47,1,8,0
1,20,1,8,0
1,57,1,8,0
1,4,1,8,0
1,84,1,8,0
1,26,1,8,0
1,44,1,8,0
1,83,1,8,0
1,43,1,8,0
1,29,1,8,0
1,1,1,8,0
1,57,1,8,0
0,2488,0,7,1
1,1,1,8,0
1,88,1,8,0
1,10,1,8,0
1,68,1,8,0
1,45,1,8,0
1,56,1,8,0
1,3,1,8,0
1,84,1,8,0
1,22,1,8,0
1,88,1,8,0
1,76,1,8,0
1,8,1,8,0
1,26,1,8,0
1,11,1,8,0
0,3325,0,6,1
1,28,1,8,0
1,20,1,8,0
1,43,1,8,0
1,61,1,8,0
1,71,1,8,0
0,5078,0,6,1
1,28,1,8,0
1,24,1,8,0
1,81,1,8,0
1,34,1,8,0
1,13,1,8,0
1,5,1,8,0
1,73,1,8,0
0,7764,0,7,1
1,52,1,8,0
1,83,1,8,0
1,89,1,8,0
1,82,1,8,0
1,61,1,8,0
1,5,1,8,0
1,74,1,8,0
1,35,1,8,0
1,33,1,8,0
1,45,1,8,0
0,8742,0,7,1
1,21,1,8,0
1,100,1,8,0
1,2,1,8,0
1,79,1,8,0
1,92,1,8,0
1,83,1,8,0
1,93,1,8,0
1,64,1,8,0
1,28,1,8,0
1,18,1,8,0
0,7850,0,5,1
1,31,1,8,0
1,43,1,8,0
1,17,1,8,0
1,67,1,8,0
1,28,1,8,0
1,19,1,8,0
1,10,1,8,0
1,81,1,8,0
1,76,1,8,0
1,36,1,8,0
1,50,1,8,0
1,65,1,8,0
1,34,1,8,0
1,5,1,8,0
0,8421,0,6,1
1,42,1,8,0
0,5288,0,6,1
1,78,1,8,0
1,39,1,8,0
0,6523,0,5,1
1,52,1,8,0
1,70,1,8,0
1,54,1,8,0
1,69,1,8,0
1,94,1,8,0
1,79,1,8,0
1,26,1,8,0
1,55,1,8,0
1,46,1,8,0
1,37,1,8,0
1,23,1,8,0
1,40,1,8,0
1,86,1,8,0
1,37,1,8,0
1,47,1,8,0
1,43,1,8,0
1,39,1,8,0
1,1,1,8,0
0,1657,0,5,1
1,85,1,8,0
1,44,1,8,0
1,28,1,8,0
1,74,1,8,0
1,57,1,8,0
1,14,1,8,0
1,100,1,8,0
1,58,1,8,0
1,41,1,8,0
1,58,1,8,0
1,19,1,8,0
1,21,1,8,0
1,18,1,8,0
1,23,1,8,0
1,4,1,8,0
1,75,1,8,0
1,23,1,8,0
1,31,1,8,0
1,3,1,8,0
1,10,1,8,0
0,2811,0,6,1
1,36,1,8,0
1,62,1,8,0
1,93,1,8,0
1,87,1,8,0
1,2,1,8,0
1,91,1,8,0
1,26,1,8,0
1,42,1,8,0
1,6,1,8,0
0,3334,0,7,1
1,8,1,8,0
1,71,1,8,0
1,14,1,8,0
1,94,1,8,0
1,37,1,8,0
1,46,1,8,0
1,30,1,8,0
1,4,1,8,0
1,86,1,8,0
1,78,1,8,0
1,66,1,8,0
1,12,1,8,0
1,35,1,8,0
1,35,1,8,0
1,83,1,8,0
1,84,1,8,0
1,10,1,8,0
1,32,1,8,0
1,57,1,8,0
1,79,1,8,0
1,51,1,8,0
1,72,1,8,0
1,75,1,8,0
1,37,1,8,0
1,59,1,8,0
1,5,1,8,0
1,19,1,8,0
1,91,1,8,0
1,58,1,8,0
1,65,1,8,0
1,58,1,8,0
1,85,1,8,0
1,3,1,8,0
1,37,1,8,0
1,92,1,8,0
1,51,1,8,0
1,1,1,8,0
1,19,1,8,0
1,2,1,8,0
1,54,1,8,0
1,98,1,8,0
1,30,1,8,0
1,38,1,8,0
0,1610,0,6,1
1,35,1,8,0
1,80,1,8,0
1,82,1,8,0
1,48,1,8,0
1,33,1,8,0
1,31,1,8,0
1,94,1,8,0
1,39,1,8,0
1,91,1,8,0
1,82,1,8,0
1,59,1,8,0
1,57,1,8,0
1,27,1,8,0
0,6369,0,6,1
1,19,1,8,0
1,3,1,8,0
1,13,1,8,0
0,7206,0,5,1
1,20,1,8,0
1,39,1,8,0
1,20,1,8,0
1,60,1,8,0
1,51,1,8,0
1,98,1,8,0
1,62,1,8,0
1,68,1,8,0
1,26,1,8,0
1,90,1,8,0
1,59,1,8,0
1,90,1,8,0
1,40,1,8,0
1,75,1,8,0
1,95,1,8,0
1,68,1,8,0
1,100,1,8,0
1,49,1,8,0
1,23,1,8,0
1,40,1,8,0
1,60,1,8,0
1,87,1,8,0
1,65,1,8,0
1,91,1,8,0
1,31,1,8,0
1,99,1,8,0
1,49,1,8,0
1,34,1,8,0
